Minutes,Games,iteration,Average_Score,High_Score,Epsilon,,,,,,,Seconds (plus the mintues)
26,227,23349,42,225,0.076674349,,,,,,,11.08
26,228,23423,42,225,0.076600423,,,,,,,15.98
26,229,23571,88,225,0.076452571,,,,,,,25.95
26,230,23748,112,225,0.076275748,,,,,,,38.59
26,231,23860,69,225,0.07616386,,,,,,,46.43
26,232,23934,42,225,0.076089934,,,,,,,51.3
26,233,24008,42,225,0.076016008,,,,,,,56.21
27,234,24212,123,225,0.075812212,,,,,,,10.1
27,235,24288,44,225,0.075736288,,,,,,,15.19
27,236,24378,52,225,0.075646378,,,,,,,21.14
27,237,24558,106,225,0.075466558,,,,,,,33.18
27,238,24648,51,225,0.075376648,,,,,,,39.09
27,239,24737,51,225,0.075287737,,,,,,,44.97
27,240,24824,51,225,0.075200824,,,,,,,50.8
27,241,24956,77,225,0.075068956,,,,,,,59.57
28,242,25030,42,225,0.07499503,,,,,,,4.48
28,243,25104,42,225,0.074921104,,,,,,,9.36
28,244,25203,58,225,0.074822203,,,,,,,16.02
28,245,25292,51,225,0.074733292,,,,,,,21.87
28,246,25393,59,225,0.074632393,,,,,,,28.62
28,247,25510,69,225,0.07451551,,,,,,,36.5
28,248,25584,43,225,0.074441584,,,,,,,41.51
28,249,25659,43,225,0.074366659,,,,,,,46.55
28,250,25785,75,225,0.074240785,,,,,,,55.06
29,251,25874,53,225,0.074151874,,,,,,,1.16
29,252,25984,65,225,0.074041984,,,,,,,8.67
29,253,26073,52,225,0.073953073,,,,,,,14.67
29,254,26158,51,225,0.073868158,,,,,,,20.52
29,255,26246,52,225,0.073780246,,,,,,,26.52
29,256,26319,42,225,0.073707319,,,,,,,31.41
29,257,26434,67,225,0.073592434,,,,,,,39
29,258,26528,54,225,0.073498528,,,,,,,45.21
29,259,26663,80,225,0.073363663,,,,,,,54.38
29,260,26737,42,225,0.073289737,,,,,,,59.35
30,261,26811,42,225,0.073215811,,,,,,,4.31
30,262,26898,51,225,0.073128898,,,,,,,10.16
30,263,26971,42,225,0.073055971,,,,,,,15.02
30,264,27088,69,225,0.072939088,,,,,,,22.88
30,265,27163,43,225,0.072864163,,,,,,,27.94
30,266,27285,72,225,0.072742285,,,,,,,36.17
30,267,27369,49,225,0.072658369,,,,,,,41.79
30,268,27504,79,225,0.072523504,,,,,,,50.79
30,269,27578,42,225,0.072449578,,,,,,,55.73
31,270,27690,67,225,0.07233769,,,,,,,3.4
31,271,27764,44,225,0.072263764,,,,,,,8.44
31,272,27850,50,225,0.07217785,,,,,,,14.2
31,273,27971,72,225,0.072056971,,,,,,,22.4
31,274,28059,52,225,0.071969059,,,,,,,28.38
31,275,28159,58,225,0.071869159,,,,,,,35.03
31,276,28235,44,225,0.071793235,,,,,,,40.13
31,277,28309,42,225,0.071719309,,,,,,,45.05
31,278,28384,43,225,0.071644384,,,,,,,50.07
31,279,28471,51,225,0.071557471,,,,,,,55.95
32,280,28595,72,225,0.071433595,,,,,,,4.15
32,281,28671,43,225,0.071357671,,,,,,,9.14
32,282,28776,61,225,0.071252776,,,,,,,16.17
32,283,28849,42,225,0.071179849,,,,,,,21.06
32,284,28923,43,225,0.071105923,,,,,,,26.06
32,285,28996,42,225,0.071032996,,,,,,,30.96
32,286,29100,60,225,0.0709291,,,,,,,37.9
32,287,29173,42,225,0.070856173,,,,,,,42.76
32,288,29302,76,225,0.070727302,,,,,,,51.4
